mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
279362;9;0;1;1;-33,5777925;-70,5918418
279902;10;1;1;0;-33,6847416;-71,2173476
280000;2;1;0;0;-33,0469478;-71,6234686
280318;7;1;1;0;-33,4465955;-70,7519083
280725;9;0;1;1;-37,0870049;-72,562806
280808;2;0;0;0;-33,0625062;-71,5880933
280957;1;1;0;0;-33,0154079;-71,5001931
281782;0;0;1;0;-35,8505327;-71,5970083
282605;10;1;0;0;-27,3589235;-70,3282059
282772;2;0;1;0;-33,5316105;-70,6539384
283163;1;0;1;0;-29,9614709;-71,2491404
283604;4;1;0;0;-32,8544494;-70,6015977
283730;4;0;1;0;-36,8420008;-73,1021688
283983;9;0;1;1;-37,469342;-72,3840811
285006;9;0;1;1;-41,1534018;-73,4185979
285575;9;0;1;0;-41,1375139;-73,0299119
287155;9;0;1;0;-31,6429586;-71,1929851
287197;7;1;1;0;-38,7403501;-72,5914432
287259;1;0;0;0;-33,5217456;-70,569346
