mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
453742;2551;131000000131
454796;16716;711000000133
454797;7614;711000000133
455049;22516;811000000133
455127;26436;131000000133
455313;4564;501000000132
456256;1853;211000000133
456300;22461;231000000133
456429;6122;231000000133
456653;1049;111000000133
456942;25005;501000000133
457338;4534;131000000131
457874;16446;501000000133
458286;3296;331000000133
458666;16652;401000000133
459928;10252;711000000133
460333;40422;401000000133
460506;16695;311000000133
460642;14552;311000000133
460670;5661;501000000132
460954;10854;501000000131
461333;14372;411000000131
461718;12602;311000000133
462008;637;401000000133
462105;7833;611000000133
463024;4714;111000000113
463217;22229;711000000133
463501;14671;331000000133
463604;14674;231000000133
463974;2163;131000000131
464999;25189;711000000133
465109;8109;131000000133
465277;1263;131000000113
465499;5020;111000000132
466338;13489;431000000113
466621;1924;611000000131
466872;5048;131000000133
467119;6953;211000000133
467312;4707;131000000133
468044;9110;401000000133
468333;10006;501000000131
468569;26538;131000000133
468663;2938;131000000133
469135;4730;501000000133
469641;4162;131000000231
469945;4180;501000000133
470093;15646;231000000133
470475;4995;211000000133
470850;2448;131000000133
471039;16518;501000000131
471104;17737;131000000133
471133;4728;411000000133
471422;227;611000000133
471981;10638;111000000133
471994;4443;211000000133
472705;10968;231000000133
472977;562;411000000133
475345;9801;131000000133
476946;31221;111000000133
477060;14616;131000000131
478052;12655;111000000133
478203;8700;111000000132
478983;7346;611000000133
479438;6223;131000000133
479580;9543;111000000132
479838;444;111000000131
480451;26436;111000000133
480584; ; 
480741;22608;211000000133
480965;2999;501000000131
480991;31005;811000000133
481030;4165;131000000133
483355;25220;401000000132
483356;11719;401000000132
483375; ; 
485202;291;111000000133
485303;4641;501000000132
485634;8657;131000000133
485806;646;341041005133
486386;3328;131000000133
487005;9177;131000000131
488436;223;111000000133
489335;5280;111000000133
489569;3323;311000000133
489838;12115;131000000133
489983;18128;431000000133
491461;2212;411000000131
492085;4026;411000000133
493029;24685;111000000133
493593;14671;331000000133
