id_colegio,internado,politica_uniforme,orientacion_religiosa,alumnos_matriculados,alumnos_prom_curso,genero,actividades_extra,apoyo_academico,deportes,idioma,infraestructura,programas
695,0,0,1,7,1,1,3,3,2,2,3,5
696,0,0,1,10,2,1,1,2,2,1,3,1
697,0,0,1,15,2,1,2,3,1,1,4,1
699,0,1,1,11,2,1,2,4,1,1,5,3
701,1,1,1,450,32,1,6,7,9,1,10,7
704,1,0,1,981,40,1,7,7,7,2,8,7
705,0,0,1,1072,38,1,5,7,8,1,8,8
706,0,1,1,728,36,1,5,6,3,1,6,6
707,0,1,1,513,30,2,7,7,6,1,8,8
708,0,1,1,367,36,1,4,7,8,1,7,7
709,0,1,1,306,30,1,4,7,6,1,9,7
710,0,1,1,285,28,1,2,8,4,1,7,6
711,0,1,1,385,27,1,5,6,6,1,8,7
712,0,1,1,624,36,1,3,8,3,2,6,6
713,0,1,1,315,31,1,6,4,8,1,8,7
714,0,1,1,594,29,1,1,7,4,1,6,7
715,0,0,1,249,24,1,5,8,2,1,8,7
716,0,1,1,388,19,1,4,5,2,1,7,6
718,0,1,1,183,18,1,4,6,5,1,6,7
721,0,1,1,580,29,1,2,6,3,1,6,6
722,0,1,1,271,27,1,5,6,5,1,7,8
723,0,1,1,14,2,1,1,3,1,1,5,3
724,0,0,1,10,1,1,4,2,4,2,3,2
725,0,1,1,172,17,1,1,5,6,1,4,7
726,0,0,1,2,1,1,0,2,2,1,3,6
727,0,0,1,6,1,1,1,1,1,1,4,5
728,0,1,1,2,1,1,4,1,1,1,1,6
729,0,1,1,76,7,1,1,5,1,1,6,4
730,0,1,1,143,14,1,3,6,4,1,4,5
731,0,1,1,47,5,1,2,5,3,1,7,5
733,0,0,1,64,6,1,1,4,3,1,4,6
735,0,0,1,5,1,1,2,3,3,1,3,3
736,0,1,1,7,1,1,0,1,1,2,1,3
737,0,1,1,169,16,1,2,6,6,1,5,6
740,0,1,1,120,12,1,2,4,3,1,3,2
743,0,1,1,64,6,1,0,0,2,1,4,4
744,0,1,1,10,1,1,2,1,1,1,4,3
745,0,0,1,0,None,1,1,2,3,1,1,6
746,0,0,1,8,1,1,4,1,3,1,3,6
747,0,0,1,130,13,1,0,6,6,1,5,6
749,0,0,1,1,1,1,1,1,1,1,2,4
750,0,1,1,111,11,1,1,4,3,1,5,6
752,0,0,1,6,2,1,3,1,3,1,2,7
753,0,1,1,167,16,1,0,1,7,1,7,4
754,0,1,1,22,3,1,6,4,7,1,6,6
755,0,0,1,1,1,1,4,2,5,1,2,6
756,0,1,1,12,2,1,4,3,5,1,3,7
757,0,1,1,106,10,1,3,6,6,1,5,5
758,0,0,1,8,1,1,4,2,3,1,4,5
759,0,0,1,18,3,1,3,1,2,1,4,4
760,0,1,1,8,2,1,2,1,2,1,2,0
762,0,1,1,20,3,1,1,1,4,1,2,7
763,0,1,5,1233,44,1,4,6,6,2,6,8
766,0,1,5,1752,44,1,5,7,9,2,10,9
767,0,1,1,472,39,1,2,4,5,2,5,6
768,1,1,5,1022,42,2,3,5,3,2,9,8
769,0,0,5,1235,44,1,4,4,8,2,7,8
771,0,0,5,1,1,1,1,1,3,0,3,3
772,1,1,1,497,33,1,6,3,5,1,8,8
773,0,1,1,73,7,1,6,4,6,1,5,9
774,1,0,1,264,18,1,2,6,5,2,6,4
