mrun;cod_nivel;rbd_admitido;cod_curso_admitido
277201;6;542;611000000133
277583;7;1014;711000000133
277667;5;11147;511000000131
278818;9;25050;131000000133
279239;7;1301;711000000133
279434;2;229;211000000133
279481;4;15682;411000000132
280474;6;2694;611000000133
281701;2;527;211000000133
283216;7;10427;711000000133
283317;9;16844;131000000133
283670;3;3361;311000000133
284223;6;13163;611000000133
285043;10;12747;231000000133
285632;2;20219;211000000133
285676;5;11931;511000000133
286355;9;12823;131000000133
286403;9;9082;131000000133
286964;5;10704;511000000133
287548;7;31010;711000000133
287619;9;25592;131000000133
287848;6;20085;611000000133
287987;9;10746;131000000133
288147;2;11830;211000000131
288290;11;19906;351053014133
288815;1;10377;111000000131
288845;9;10076;131000000133
288965;12;3387;431000000133
289386;4;3111;411000000133
290057;11;10715;331000000133
290176;1;18065;111000000133
290394;8;3260;811000000133
290477;9;5666;131000000132
290702;9;13590;131000000133
290736;9;4805;131000000133
291028;5;4898;511000000133
291866;5;26538;511000000133
291960;10;9065;231000000131
292548;3;3143;311000000133
293415;4;10489;411000000133
294305;11;22464;341041005133
294904;10;629;231000000133
295438;1;25026;111000000133
296614;4;3714;411000000132
296993;5;2249;511000000133
297252;10;10726;231000000133
297287;5;45;511000000113
297370;7;5510;711000000133
298319;7;31010;711000000133
298334;9;22012;131000000133
298872;9;13551;131000000133
298992;4;5342;411000000133
299631;9;40298;131000000133
299793;5;5614;511000000133
301298;11;8501;341041002133
302041;10;16410;231000000131
302926;10;9312;231000000133
303432;11;16588;331000000133
303450;3;25238;311000000131
304154;11;26012;331000000133
304361;7;3398;711000000133
304727;1;721;111000000133
305597;11;19906;351053014133
305921;7;20158;711000000131
306220;8;9486;811000000133
306835;9;12830;131000000133
307733;12;567;431000000133
309790;9;10399;131000000133
309826;9;5666;131000000132
310218;1;9206;111000000133
311644;2;3731;211000000131
311965;4;16589;411000000133
312015;4;4636;411000000133
312296;9;8005;131000000133
312297;9;2530;131000000133
312913;11;11608;351051009133
313082;9;7956;131000000133
313163;12;5655;441041005131
314247;9;17915;131000000133
314322;6;10578;611000000133
314348;1;9104;111000000133
314478;1;22566;111000000133
314516;7;8739;711000000131
314552;7;3056;711000000133
315084;2;9673;211000000133
316372;8;7630;811000000113
319319;3;1667;311000000133
319572;4;5001;411000000133
319699;9;25393;131000000133
320058;7;4452;711000000133
320124;3;7412;311000000133
320980;2;13637;211000000133
321140;3;31221;311000000133
321307;2;14387;211000000131
321440;12;24473;461061003133
321572;9;9008;131000000133
321798;9;9075;131000000133
322094;11;2583;331000000133
322647;1;12720;111000000133
322714;10;10337;231000000133
324916;6;31087;611000000133
325043;8;10336;811000000131
325521;2;7664;211000000133
325715;4;11931;411000000133
326021;1;25718;111000000132
326114;7;7593;711000000133
326318;6;1191;611000000133
326550;4;527;411000000133
327598;7;1930;711000000133
328327;7;22616;711000000133
328659;3;10400;311000000133
329050;1;8546;111000000133
329236;6;2209;611000000133
329254;9;22270;131000000133
329715;10;8504;231000000111
331370;6;9874;611000000133
331751;8;12602;811000000133
331856;9;5652;131000000113
331908;9;15775;131000000113
333179;9;2938;131000000133
333399;9;8105;131000000133
333659;7;9953;711000000131
334125;9;15769;131000000133
335398;6;7334;611000000133
335707;4;10103;411000000133
336152;9;2938;131000000133
336488;8;31221;811000000133
336725;2;14351;211000000131
337210;8;2265;811000000133
337305;2;10429;211000000133
338297;4;1742;411000000132
338333;5;7592;511000000133
338508;9;26083;131000000133
339369;7;9606;711000000133
340102;9;8424;131000000133
340448;4;294;411000000133
341013;5;10200;511000000113
341307;11;5439;341041002133
341687;9;16604;131000000133
344172;9;610;131000000131
344984;8;2123;811000000133
345066;2;25027;211000000131
345091;9;1663;131000000131
345186;3;10233;311000000131
345346;6;18170;611000000133
345835;5;12079;511000000133
346353;4;9206;411000000133
346845;9;2551;131000000131
347277;9;25050;131000000133
348551;9;2444;131000000133
348599;3;1221;311000000133
348958;9;9584;131000000133
349315;9;9075;131000000133
349778;9;40080;131000000133
350227;6;8444;611000000133
351575;3;6224;311000000133
351849;9;2050;131000000131
352031;2;16468;211000000133
352296;4;5580;411000000133
352742;10;3479;231000000133
352811;7;10785;711000000133
352816;6;10816;611000000133
353167;3;25447;311000000133
353509;10;24473;231000000133
353992;5;1217;511000000333
354443;2;6254;211000000133
355295;9;26219;131000000133
355974;6;1192;611000000133
356135;9;4553;131000000111
356262;9;2551;131000000131
356999;5;15515;511000000133
357091;9;10911;131000000133
358695;2;3033;211000000131
359448;9;2938;131000000133
360702;11;1167;341041005133
361550;7;454;711000000133
361634;5;1488;511000000133
361846;8;9618;811000000133
361847;9;14659;131000000133
361924;9;284;131000000133
362116;2;22436;211000000133
362872;1;22367;111000000133
363114;9;1366;131000000133
363596;5;40295;511000000133
363603;4;9979;411000000132
364126;9;10832;131000000333
365372;9;5344;131000000133
365896;7;1598;711000000131
366078;9;7236;131000000133
366118;12;3797;431000000133
366447;2;26068;211000000131
366667;9;41617;131000000133
366991;3;14717;311000000133
367174;11;8841;331000000133
369194;9;1502;131000000133
369587;1;25544;111000000133
369897;11;1863;331000000133
370199;9;26168;131000000133
370326;9;12961;131000000133
370518;2;11741;211000000132
