mrun;nivel;rbd_admitido;cod_ense_admitido;cod_grado_admitido;respuesta_postulante;rbd_admitido_post_resp;cod_ense_admitido_post_resp;cod_grado_admitido_post_resp
6927794;-1;24307;10;4;5;24307;10;4
6932978;-1;8413;10;4;5;8413;10;4
6943128;-1;8437;10;4;4; ; ; 
6953008;0;8421;10;5;5;8421;10;5
6959268;-1;11680;10;4;4; ; ; 
6967452;-1;24329;10;4;5;24329;10;4
6967870;0;11680;10;5;5;11680;10;5
6968079;9;8429;310;1;7;8424;310;1
6971076;9;8425;310;1;5;8425;310;1
6971708;9;24300;310;1;5;24300;310;1
6973849;9;8424;310;1;5;8424;310;1
6980921;-1;24317;10;4;3;24317;10;4
6983269;9;24319;310;1;3;24319;310;1
6992603;-1;8458;10;4;5;8458;10;4
6993832;-1;24302;10;4;5;24302;10;4
6994082;0;8457;10;5;5;8457;10;5
7003595;9;8429;310;1;6;8429;310;1
7014917;0;8421;10;5;5;8421;10;5
7018704;9;8424;310;1;3;8424;310;1
7025951;-1;8454;10;4;5;8454;10;4
7031024;1;8413;110;1;3;8413;110;1
7033060;9;8454;310;1;7; ; ; 
7043627;-1;24302;10;4;4; ; ; 
7049949;9;24316;310;1;5;24316;310;1
7068632;9;8425;310;1;3;8425;310;1
7077364;1;24329;110;1;5;24329;110;1
7080332;9;8425;310;1;5;8425;310;1
7086697;-1;24338;10;4;5;24338;10;4
7093307;-1;8433;10;4;3;8433;10;4
7094958;9;8429;310;1;6;8429;310;1
7100434;1;8422;110;1;5;8422;110;1
7101540;9;8430;310;1;7; ; ; 
7109394;9;8425;310;1;5;8425;310;1
7110160;-1;8457;10;4;5;8457;10;4
7128809;-1;24311;10;4;3;24311;10;4
7131231;9;8411;310;1;5;8411;310;1
7139705;-1;8454;10;4;5;8454;10;4
7149521;0;8439;10;5;7;11678;10;5
7155494;9;8424;310;1;5;8424;310;1
7173332;1;24329;110;1;5;24329;110;1
7176981;0;8449;10;5;3;8449;10;5
7178271;-1;24305;10;4;5;24305;10;4
7185450;0;8422;10;5;5;8422;10;5
7196177;7;8424;110;7;5;8424;110;7
7198733;1;8434;110;1;5;8434;110;1
7205467;9;8425;310;1;5;8425;310;1
7230588;7;24338;110;7;4; ; ; 
7244664;1;8458;110;1;3;8458;110;1
7250448;-1;8457;10;4;5;8457;10;4
7274173;-1;11680;10;4;5;11680;10;4
7286814;9;8429;310;1;3;8429;310;1
7290893;-1;8470;10;4;5;8470;10;4
7309871;0;8413;10;5;5;8413;10;5
7316419;1;24319;110;1;3;24319;110;1
7324686;1;24319;110;1;5;24319;110;1
7325107;-1;11687;10;4;3;11687;10;4
7342989;-1;24317;10;4;5;24317;10;4
7350913;-1;8421;10;4;5;8421;10;4
7364027;-1;24334;10;4;7; ; ; 
7373956;-1;8449;10;4;5;8449;10;4
7383000;-1;24307;10;4;5;24307;10;4
7399228;-1;8436;10;4;3;8436;10;4
7401395;1;11678;110;1;3;11678;110;1
7417353;9;8429;310;1;5;8429;310;1
7417740;-1;8442;10;4;5;8442;10;4
7422142;-1;8458;10;4;5;8458;10;4
7432538;1;24329;110;1;5;24329;110;1
7435613;9;8425;310;1;5;8425;310;1
7438312;-1;8413;10;4;5;8413;10;4
7439803;0;8442;10;5;5;8442;10;5
7441580;1;24329;110;1;5;24329;110;1
7441829;0;8435;10;5;7; ; ; 
7448875;-1;11678;10;4;5;11678;10;4
7458448;9;24338;310;1;5;24338;310;1
7461712;0;8421;10;5;5;8421;10;5
7469700;9;8425;310;1;5;8425;310;1
7469778;9;11678;310;1;3;11678;310;1
7471324;9;8427;310;1;5;8427;310;1
7471728;9;8454;310;1;5;8454;310;1
7483330;0;8458;10;5;5;8458;10;5
7504414;7;8458;110;7;5;8458;110;7
7506035;1;8441;110;1;3;8441;110;1
7511317;-1;24329;10;4;4; ; ; 
7512958;1;24313;110;1;5;24313;110;1
7522919;1;24319;110;1;5;24319;110;1
7531992;0;8436;10;5;4; ; ; 
7541463;9;8425;310;1;5;8425;310;1
7542721;9;8427;310;1;7;24319;310;1
7543189;9;11678;310;1;3;11678;310;1
7551073;-1;8413;10;4;3;8413;10;4
7551933;-1;8458;10;4;5;8458;10;4
7571257;9;8427;310;1;6;8424;310;1
7580872;1;24318;110;1;5;24318;110;1
7589366;-1;24329;10;4;5;24329;10;4
7596553;9;8425;310;1;5;8425;310;1
7606008;1;24313;110;1;7; ; ; 
7607409;9;8474;310;1;5;8474;310;1
7612381;0;8442;10;5;5;8442;10;5
7614339;7;8421;110;7;5;8421;110;7
7626977;9;8427;310;1;4; ; ; 
7634081;0;8441;10;5;5;8441;10;5
7653451;-1;8454;10;4;5;8454;10;4
7660333;-1;8457;10;4;5;8457;10;4
7660397;9;24329;310;1;5;24329;310;1
7662189;-1;24305;10;4;5;24305;10;4
7672494;1;8455;110;1;3;8455;110;1
