rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;habilitado_distancia
110;2;211000000133;110;2;3;0;1;0;0;0;-20,21759;-70,146912;70;0;0;0;0;0;0;1;1
110;3;311000000133;110;3;3;0;1;0;0;0;-20,21759;-70,146912;70;2;0;0;0;0;2;1;1
110;4;411000000133;110;4;3;0;1;0;0;0;-20,21759;-70,146912;70;1;0;0;0;0;1;1;1
110;5;511000000133;110;5;3;0;1;0;0;0;-20,21759;-70,146912;71;0;0;0;0;0;0;1;1
110;6;611000000133;110;6;3;0;1;0;0;0;-20,21759;-70,146912;75;1;0;0;0;0;1;1;1
110;7;711000000133;110;7;3;0;1;0;0;0;-20,21759;-70,146912;73;1;0;0;0;0;1;1;1
110;8;811000000133;110;8;3;0;1;0;0;0;-20,21759;-70,146912;70;0;0;0;0;0;0;1;1
110;9;131000000133;310;1;3;0;1;0;0;0;-20,21759;-70,146912;70;2;0;0;0;0;2;1;1
110;10;231000000133;310;2;3;0;1;0;0;0;-20,21759;-70,146912;74;5;0;0;0;0;5;1;1
110;11;331000000133;310;3;3;0;1;0;0;0;-20,21759;-70,146912;70;3;0;0;0;0;3;1;1
110;12;431000000133;310;4;3;0;1;0;0;0;-20,21759;-70,146912;70;7;0;0;0;0;7;1;1
111;-1;401000000133;10;4;3;0;1;0;0;0;-20,22576;-70,141502;70;6;0;0;0;0;6;2;1
111;0;501000000133;10;5;3;0;1;0;0;0;-20,22576;-70,141502;70;0;0;0;0;0;0;2;1
111;1;111000000133;110;1;3;0;1;0;0;0;-20,22576;-70,141502;70;3;0;0;0;0;3;2;1
