rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;tiene_orden_pie;tiene_orden_alta_t
106;12;451052013133;510;4;3;52013;1;0;0;0;-20,293949;-70,127777;36;1;0;0;0;0;1;1;0;0
106;12;481081004133;810;4;3;81004;1;0;0;0;-20,293949;-70,127777;35;7;0;0;0;0;7;1;0;0
107;1;111000000133;110;1;3;0;1;0;0;0;-20,21981;-70,153313;35;35;0;6;0;0;29;1;0;0
107;2;211000000133;110;2;3;0;1;0;0;0;-20,21981;-70,153313;35;35;0;6;0;0;29;1;0;0
107;3;311000000133;110;3;3;0;1;0;0;0;-20,21981;-70,153313;35;35;0;6;0;0;29;1;0;0
107;4;411000000133;110;4;3;0;1;0;0;0;-20,21981;-70,153313;35;35;0;6;0;0;29;1;0;0
107;5;511000000133;110;5;3;0;1;0;0;0;-20,21981;-70,153313;35;35;0;6;0;0;29;1;0;0
107;6;611000000133;110;6;3;0;1;0;0;0;-20,21981;-70,153313;35;35;0;6;0;0;29;1;0;0
107;7;711000000133;110;7;3;0;1;0;0;0;-20,21981;-70,153313;35;35;0;6;0;0;29;1;0;0
107;8;811000000131;110;8;1;0;1;0;0;0;-20,21981;-70,153313;35;30;0;6;0;0;24;1;0;0
107;9;131000000133;310;1;3;0;1;0;0;0;-20,21981;-70,153313;175;147;0;16;0;0;131;1;0;0
107;10;231000000133;310;2;3;0;1;0;0;0;-20,21981;-70,153313;210;100;0;0;0;0;100;1;0;0
107;11;331000000133;310;3;3;0;1;0;0;0;-20,21981;-70,153313;175;79;0;0;0;0;79;1;0;0
107;12;431000000133;310;4;3;0;1;0;0;0;-20,21981;-70,153313;175;99;0;0;0;0;99;1;0;0
108;9;131000000133;310;1;3;0;1;0;0;0;-20,2258;-70,148727;140;140;0;21;0;0;119;1;0;0
108;10;231000000133;310;2;3;0;1;0;0;0;-20,2258;-70,148727;140;10;0;0;0;0;10;1;0;0
108;11;351052009133;510;3;3;52009;1;0;0;0;-20,2258;-70,148727;35;21;0;1;0;0;20;1;0;0
108;11;351052010133;510;3;3;52010;1;0;0;0;-20,2258;-70,148727;35;21;0;0;0;0;21;1;0;0
108;11;351052013133;510;3;3;52013;1;0;0;0;-20,2258;-70,148727;35;21;0;0;0;0;21;1;0;0
108;11;351053014133;510;3;3;53014;1;0;0;0;-20,2258;-70,148727;35;21;0;0;0;0;21;1;0;0
108;11;361061003133;610;3;3;61003;1;0;0;0;-20,2258;-70,148727;35;22;0;0;0;0;22;1;0;0
108;11;361064001133;610;3;3;64001;1;0;0;0;-20,2258;-70,148727;35;14;0;0;0;0;14;1;0;0
108;12;451052009133;510;4;3;52009;1;0;0;0;-20,2258;-70,148727;35;27;0;2;0;0;25;1;0;0
